title;url;upload_date;17-Oct-2020 15:00;18-Oct-2020 14:09
Conversazioni sulla scienza con Piero Bianucci;https://www.youtube.com/watch?v=c5iJ-cXApDc;20200930;551;553
Conversazioni sulla scienza con Amedeo Balbi;https://www.youtube.com/watch?v=ob4Ne27PpiQ;20201005;672;678
Conversazioni sulla scienza con Silvia Bencivelli;https://www.youtube.com/watch?v=B2ziw2WUblc;20201007;338;339
Conversazioni sulla scienza con Armando De Vincentiis;https://www.youtube.com/watch?v=M3Pbhfkw2mg;20201007;121;122
Conversazioni sulla scienza con Armando De Vincentiis;https://www.youtube.com/watch?v=HDoNSuR2ydQ;20201007;150;151
Conversazioni sulla scienza con Salvo di Grazia;https://www.youtube.com/watch?v=aqTJjF4PGWY;20201008;322;324
Conversazioni sulla scienza con Stefano Bigliardi;https://www.youtube.com/watch?v=s0Dm6ezCu-o;20200929;525;526
Conversazioni sulla scienza con Lucia Votano;https://www.youtube.com/watch?v=NHtMtl9xeLE;20200928;552;552
CONVERSAZIONI SULLA SCIENZA con Veronica Padovani;https://www.youtube.com/watch?v=yNipdCaGi50;20201001;245;245
Conversazioni sulla scienza con Francesco Grassi;https://www.youtube.com/watch?v=g-_8OcSQcSw;20201012;259;262
Conversazioni sulla scienza con Giorgio Manzi;https://www.youtube.com/watch?v=E_tD-13qrKw;20201014;439;450
Conversazioni sulla scienza con Luigi Garlaschelli;https://www.youtube.com/watch?v=KsZXNCFX5YI;20201013;380;389
Conversazioni sulla scienza con Sandra Savaglio;https://www.youtube.com/watch?v=vnjDvSIiGUE;20201016;97;104
